,año,equiponac,jugador,club
0,1994,Bolivia,Carlos Trucco,Bolivar
1,1994,Bolivia,Dario Rojas,Oriente
2,1994,Bolivia,Juan Manuel Peña,Santa Fe
3,1994,Bolivia,Marco Sandy,Bolivar
4,1994,Bolivia,Modesto Soruco,Blooming
5,1994,Bolivia,Gustavo Quinteros,San José
6,1994,Bolivia,Miguel Rimba,Bolivar
7,1994,Bolivia,Luis Cristaldo,Bolivar
8,1994,Bolivia,Carlos Borja,Bolivar
9,1994,Bolivia,Mario Pinedo,Oriente
10,1994,Bolivia,José Melgar,Cobreloa
11,1994,Bolivia,Juan Carlos Chavez,ignorado
12,1994,Bolivia,Vladimir Soria,Bolivar
13,1994,Bolivia,Alvaro Pena,Temuco
14,1994,Bolivia,Ramiro Castillo,The Strongest
15,1994,Bolivia,Mauricio Ramos,Guabira
16,1994,Bolivia,J. C.  Baldivieso,Bolivar
17,1994,Bolivia,Erwin Sanchez,Boavista
18,1994,Bolivia,Marco Etcheverry,Colo Colo
19,1994,Bolivia,Jaime Moreno,Blooming
20,1994,Bolivia,Luis Ramallo,Oriente
21,1995,Bolivia,Carlos Trucco,Bolivar
22,1995,Bolivia,Juan Manuel Peña,Valladolid
23,1995,Bolivia,Marco Sandy,Bolivar
24,1995,Bolivia,Juan Carlos Ruiz,Bolivar
25,1995,Bolivia,Gustavo Quinteros,San Lorenzo
26,1995,Bolivia,Miguel Rimba,Bolivar
27,1995,Bolivia,Luis Cristaldo,Bolivar
28,1995,Bolivia,Carlos Borja,Bolivar
29,1995,Bolivia,José Melgar,Bolivar
30,1995,Bolivia,Demetrio Angola,Wilstermann
31,1995,Bolivia,Mauricio Ramos,ignorado
32,1995,Bolivia,Juan Carlos Sanchez,The Strongest
33,1995,Bolivia,Alvaro Pena,Bolivar
34,1995,Bolivia,J. C.  Baldivieso,Newell's
35,1995,Bolivia,Juan Berthy Suarez,Guabira
36,1995,Bolivia,Miguel Mercado,Bolivar
37,1996,Bolivia,Mauricio Soria,Oriente
38,1996,Bolivia,Marco Barrero,ignorado
39,1996,Bolivia,Carlos Trucco,Cruz Azul
40,1996,Bolivia,Juan Manuel Peña,Valladolid
41,1996,Bolivia,Oscar Sanchez,The Strongest
42,1996,Bolivia,Miguel Angel Paraba,ignorado
43,1996,Bolivia,Marco Sandy,Bolivar
44,1996,Bolivia,Miguel Rimba,Bolivar
45,1996,Bolivia,Ivan Castillo,Bolivar
46,1996,Bolivia,Luis Cristaldo,Bolivar
47,1996,Bolivia,Mauricio Ramos,ignorado
48,1996,Bolivia,Sergio Castillo,Guabira
49,1996,Bolivia,Ruben Tufiño,Oriente
50,1996,Bolivia,José Melgar,RSC
51,1996,Bolivia,Ramiro Castillo,The Strongest
52,1996,Bolivia,Vladimir Soria,Bolivar
53,1996,Bolivia,J. C.  Baldivieso,Bolivar
54,1996,Bolivia,Marco Etcheverry,D.C. United
55,1996,Bolivia,Jaime Moreno,D.C. United
56,1996,Bolivia,Juan Berthy Suarez,D.C. United
57,1996,Bolivia,Roly Paniagua,San José
58,1996,Bolivia,Milton Coimbra,Lanus
59,1997,Bolivia,Carlos Trucco,Cruz Azul
60,1997,Bolivia,Juan Manuel Peña,Valladolid
61,1997,Bolivia,Oscar Sanchez,The Strongest
62,1997,Bolivia,Eduardo Jiguchi,Bolivar
63,1997,Bolivia,Marco Sandy,Bolivar
64,1997,Bolivia,Miguel Rimba,Bolivar
65,1997,Bolivia,Ivan Castillo,Bolivar
66,1997,Bolivia,Luis Cristaldo,Bolivar
67,1997,Bolivia,Ramiro Castillo,Bolivar
68,1997,Bolivia,Demetrio Angola,The Strongest
69,1997,Bolivia,José Melgar,The Strongest
70,1997,Bolivia,Ruben Tufiño,Blooming
71,1997,Bolivia,Vladimir Soria,Bolivar
72,1997,Bolivia,Sergio Castillo,The Strongest
73,1997,Bolivia,Mauro Blanco,The Strongest
74,1997,Bolivia,Fernando Ochaizpur,ignorado
75,1997,Bolivia,Limberg Gutiérrez,Blooming
76,1997,Bolivia,J. C.  Baldivieso,Yokohama FM
77,1997,Bolivia,Erwin Sanchez,Boavista
78,1997,Bolivia,Marco Etcheverry,D.C. United
79,1997,Bolivia,Juan Berthy Suarez,The Strongest
