,año,equiponac,jugador,club,pais_club
0,1994,Bolivia,Carlos Trucco,Bolivar,Bolivia
1,1994,Bolivia,Dario Rojas,Oriente,Bolivia
2,1994,Bolivia,Juan Manuel Peña,Santa Fe,Colombia
3,1994,Bolivia,Marco Sandy,Bolivar,Bolivia
4,1994,Bolivia,Modesto Soruco,Blooming,Bolivia
5,1994,Bolivia,Gustavo Quinteros,San José,Bolivia
6,1994,Bolivia,Miguel Rimba,Bolivar,Bolivia
7,1994,Bolivia,Luis Cristaldo,Bolivar,Bolivia
8,1994,Bolivia,Carlos Borja,Bolivar,Bolivia
9,1994,Bolivia,Mario Pinedo,Oriente,Bolivia
10,1994,Bolivia,José Melgar,Cobreloa,Chile
11,1994,Bolivia,Juan Carlos Chavez,ignorado,Ignorado
12,1994,Bolivia,Vladimir Soria,Bolivar,Bolivia
13,1994,Bolivia,Alvaro Pena,Temuco,Chile
14,1994,Bolivia,Ramiro Castillo,The Strongest,Bolivia
15,1994,Bolivia,Mauricio Ramos,Guabira,Bolivia
16,1994,Bolivia,J. C.  Baldivieso,Bolivar,Bolivia
17,1994,Bolivia,Erwin Sanchez,Boavista,Portugal
18,1994,Bolivia,Marco Etcheverry,Colo Colo,Chile
19,1994,Bolivia,Jaime Moreno,Blooming,Bolivia
20,1994,Bolivia,Luis Ramallo,Oriente,Bolivia
21,1995,Bolivia,Carlos Trucco,Bolivar,Bolivia
22,1995,Bolivia,Juan Manuel Peña,Valladolid,España
23,1995,Bolivia,Marco Sandy,Bolivar,Bolivia
24,1995,Bolivia,Juan Carlos Ruiz,Bolivar,Bolivia
25,1995,Bolivia,Gustavo Quinteros,San Lorenzo,Argentina
26,1995,Bolivia,Miguel Rimba,Bolivar,Bolivia
27,1995,Bolivia,Luis Cristaldo,Bolivar,Bolivia
28,1995,Bolivia,Carlos Borja,Bolivar,Bolivia
29,1995,Bolivia,José Melgar,Bolivar,Bolivia
30,1995,Bolivia,Demetrio Angola,Wilstermann,Bolivia
31,1995,Bolivia,Mauricio Ramos,ignorado,Ignorado
32,1995,Bolivia,Juan Carlos Sanchez,The Strongest,Bolivia
33,1995,Bolivia,Alvaro Pena,Bolivar,Bolivia
34,1995,Bolivia,J. C.  Baldivieso,Newell's,Argentina
35,1995,Bolivia,Juan Berthy Suarez,Guabira,Bolivia
36,1995,Bolivia,Miguel Mercado,Bolivar,Bolivia
