,año,equiponac,IJE,rank
0,1994,Bolivia,0.2857142857142857,31.88
1,1995,Bolivia,0.25,34.4
2,1996,Bolivia,0.40909090909090906,36.71
3,1997,Bolivia,0.375,31.44
4,1999,Bolivia,0.26086956521739135,45.38
5,2000,Bolivia,0.26190476190476186,56.47
6,2001,Bolivia,0.15000000000000002,64.58
7,2002,Bolivia,0.07499999999999996,62.6
8,2003,Bolivia,0.19999999999999996,62.5
9,2004,Bolivia,0.19444444444444442,63.27
10,2005,Bolivia,0.20588235294117652,64.57
11,2006,Bolivia,0.05882352941176472,66.0
12,2007,Bolivia,0.275,64.17
13,2008,Bolivia,0.2325581395348837,60.73
14,2009,Bolivia,0.2790697674418605,56.56
15,2010,Bolivia,0.13888888888888884,62.33
16,2011,Bolivia,0.23684210526315785,72.5
17,2012,Bolivia,0.1282051282051282,67.12
18,2013,Bolivia,0.19999999999999996,53.2
19,2014,Bolivia,0.13888888888888884,56.17
20,2015,Bolivia,0.12962962962962965,52.2
21,2016,Bolivia,0.13461538461538458,56.92
22,2017,Bolivia,0.13043478260869568,42.5
23,2018,Bolivia,0.1454545454545455,46.7
24,2019,Bolivia,0.051724137931034475,54.0
25,1994,Colombia,0.11111111111111116,7.0
26,1995,Colombia,0.11764705882352944,14.33
27,1996,Colombia,0.19148936170212771,13.77
28,1997,Colombia,0.27450980392156865,22.39
29,1998,Colombia,0.3870967741935484,25.67
30,1999,Colombia,0.32692307692307687,24.73
31,2000,Colombia,0.36170212765957444,24.31
32,2001,Colombia,0.29824561403508776,19.67
33,2002,Colombia,0.1428571428571429,12.5
34,2003,Colombia,0.41666666666666663,20.24
35,2004,Colombia,0.5217391304347826,25.75
36,2005,Colombia,0.4426229508196722,25.65
37,2006,Colombia,0.43243243243243246,29.71
38,2007,Colombia,0.4181818181818182,21.06
39,2008,Colombia,0.4545454545454546,22.77
40,2009,Colombia,0.4772727272727273,34.42
41,2010,Colombia,0.4285714285714286,27.25
42,2011,Colombia,0.78125,22.17
43,2012,Colombia,0.7666666666666666,15.67
44,2013,Colombia,0.8214285714285714,8.25
45,2014,Colombia,0.8235294117647058,5.77
46,2015,Colombia,0.7173913043478262,4.92
47,2016,Colombia,0.627906976744186,6.47
48,2017,Colombia,0.607843137254902,8.09
49,2018,Colombia,0.7142857142857143,9.18
50,2019,Colombia,0.8292682926829268,6.33
51,1994,Argentina,0.32499999999999996,9.75
52,1995,Argentina,0.2941176470588235,15.44
53,1996,Argentina,0.3157894736842105,20.0
54,1997,Argentina,0.39534883720930236,17.64
55,1998,Argentina,0.6071428571428572,12.46
56,1999,Argentina,0.5135135135135135,10.29
57,2000,Argentina,0.5675675675675675,6.33
58,2001,Argentina,0.875,2.78
59,2002,Argentina,0.8666666666666667,3.29
60,2003,Argentina,0.6734693877551021,2.62
61,2004,Argentina,0.775,3.24
62,2005,Argentina,0.6481481481481481,3.24
63,2006,Argentina,0.9393939393939394,6.0
64,2007,Argentina,0.5714285714285714,3.31
65,2008,Argentina,0.8108108108108107,4.18
66,2009,Argentina,0.4375,7.92
67,2010,Argentina,0.4307692307692308,5.79
68,2011,Argentina,0.5617977528089888,6.1
69,2012,Argentina,0.6666666666666667,5.09
70,2013,Argentina,0.7894736842105263,4.33
71,2014,Argentina,0.868421052631579,3.4
72,2015,Argentina,0.7435897435897436,2.8
73,2016,Argentina,0.725,1.4
74,2017,Argentina,0.7049180327868853,3.7
75,2018,Argentina,0.7321428571428572,9.85
76,2019,Argentina,0.6599999999999999,12.38
77,1994,Ecuador,0.0714285714285714,43.5
78,1995,Ecuador,0.12,40.2
79,1996,Ecuador,0.23529411764705888,35.25
80,1997,Ecuador,0.13793103448275867,30.16
81,1999,Ecuador,0.21739130434782605,32.25
82,2000,Ecuador,0.16000000000000003,45.2
83,2001,Ecuador,0.29166666666666663,32.71
84,2002,Ecuador,0.15625,36.6
85,2003,Ecuador,0.08823529411764708,34.0
86,2004,Ecuador,0.12,41.13
87,2005,Ecuador,0.14893617021276595,34.24
88,2006,Ecuador,0.1875,33.18
89,2007,Ecuador,0.2962962962962963,39.5
90,2008,Ecuador,0.26086956521739135,38.83
91,2009,Ecuador,0.40625,37.1
92,2010,Ecuador,0.19444444444444442,35.14
93,2011,Ecuador,0.30612244897959184,33.94
94,2012,Ecuador,0.4642857142857143,19.12
95,2013,Ecuador,0.4411764705882353,16.08
96,2014,Ecuador,0.4871794871794872,17.27
97,2015,Ecuador,0.4722222222222222,15.83
98,2016,Ecuador,0.43243243243243246,15.46
99,2017,Ecuador,0.40740740740740744,21.8
100,2018,Ecuador,0.4651162790697675,28.83
